experience,education,tech_score,interview_score,age,gender,hired,education_enc,gender_enc
7,High School,87,97,41,Male,1,1,1
14,Masters,46,30,40,Female,0,2,0
9,PhD,60,92,56,Female,1,3,0
0,Masters,81,53,25,Female,0,2,0
11,PhD,65,42,26,Male,1,3,1
14,Masters,83,40,22,Male,1,2,1
9,Bachelors,95,80,25,Male,1,0,1
8,Bachelors,53,46,33,Female,0,0,0
5,Bachelors,96,53,48,Female,0,0,0
2,Masters,76,48,44,Female,0,2,0
12,Masters,97,66,46,Male,1,2,1
13,Bachelors,60,37,42,Female,1,0,0
7,Masters,57,57,45,Female,0,2,0
8,Masters,44,34,46,Male,1,2,1
5,Bachelors,42,46,53,Male,1,0,1
10,Bachelors,62,65,53,Male,1,0,1
6,Bachelors,65,48,26,Male,1,0,1
0,High School,76,93,57,Male,1,1,1
13,Bachelors,63,40,37,Male,1,0,1
4,High School,88,83,54,Male,1,1,1
4,High School,58,74,42,Female,0,1,0
9,Bachelors,90,76,30,Male,1,0,1
13,Bachelors,64,41,27,Male,1,0,1
3,High School,60,50,56,Male,0,1,1
5,Masters,51,40,43,Male,1,2,1
6,Bachelors,96,34,26,Female,0,0,0
8,PhD,80,85,44,Male,1,3,1
0,PhD,72,49,38,Male,1,3,1
14,High School,89,70,33,Female,1,1,0
5,Bachelors,92,75,44,Male,1,0,1
6,High School,43,41,37,Female,0,1,0
2,Bachelors,81,99,24,Male,1,0,1
7,Masters,96,46,51,Male,1,2,1
14,Bachelors,46,48,43,Female,0,0,0
4,Bachelors,61,55,30,Female,0,0,0
14,Bachelors,94,77,50,Female,1,0,0
8,High School,72,81,44,Male,1,1,1
4,Masters,56,99,34,Male,1,2,1
8,Bachelors,63,84,53,Female,0,0,0
9,Bachelors,73,62,44,Male,1,0,1
3,Bachelors,67,91,38,Male,1,0,1
8,PhD,97,52,42,Male,1,3,1
4,High School,82,44,23,Male,0,1,1
9,Bachelors,80,56,27,Female,0,0,0
8,Masters,78,93,39,Male,1,2,1
2,Bachelors,61,80,51,Female,0,0,0
14,PhD,88,82,43,Male,1,3,1
3,Masters,56,80,54,Male,1,2,1
8,Masters,73,76,51,Male,1,2,1
9,Masters,45,33,38,Male,1,2,1
10,PhD,85,36,53,Female,0,3,0
5,PhD,45,64,35,Female,0,3,0
1,Masters,73,77,31,Female,0,2,0
6,Masters,40,74,57,Female,0,2,0
1,High School,49,48,55,Female,0,1,0
10,High School,60,92,30,Female,0,1,0
1,Bachelors,44,67,49,Male,0,0,1
10,High School,41,96,32,Male,1,1,1
0,Bachelors,61,88,35,Male,1,0,1
10,Bachelors,87,98,40,Male,1,0,1
10,Bachelors,96,42,36,Male,1,0,1
11,Masters,41,76,49,Male,1,2,1
10,PhD,49,90,45,Female,1,3,0
2,High School,73,60,29,Male,1,1,1
5,Bachelors,55,51,30,Male,1,0,1
7,Masters,87,72,54,Male,1,2,1
8,High School,90,96,54,Male,1,1,1
6,Masters,78,83,40,Female,0,2,0
3,Bachelors,61,39,24,Male,1,0,1
5,Bachelors,51,71,31,Female,0,0,0
4,PhD,63,93,22,Female,1,3,0
7,Bachelors,86,50,50,Male,1,0,1
0,Masters,79,95,55,Male,1,2,1
0,Masters,77,70,34,Female,0,2,0
12,High School,99,53,22,Female,1,1,0
14,Masters,98,64,55,Female,1,2,0
10,PhD,49,85,50,Female,0,3,0
5,High School,74,59,34,Male,1,1,1
9,Masters,90,86,50,Male,1,2,1
11,Bachelors,88,76,45,Male,1,0,1
1,Masters,71,64,47,Female,0,2,0
4,Masters,46,48,38,Female,0,2,0
0,Bachelors,60,37,28,Male,0,0,1
6,PhD,59,55,34,Male,1,3,1
0,PhD,65,59,26,Male,1,3,1
3,Masters,43,36,47,Male,1,2,1
8,Masters,85,96,24,Female,1,2,0
0,Masters,91,94,28,Female,0,2,0
3,Bachelors,61,65,22,Female,0,0,0
5,Masters,54,54,38,Male,0,2,1
5,Bachelors,95,66,46,Male,1,0,1
11,Bachelors,79,30,24,Female,0,0,0
14,Masters,60,44,36,Female,1,2,0
12,Bachelors,54,66,50,Female,1,0,0
7,High School,61,42,53,Female,0,1,0
0,High School,91,37,47,Male,0,1,1
6,Bachelors,67,34,37,Male,1,0,1
0,Masters,53,89,46,Male,0,2,1
12,Bachelors,66,30,49,Male,1,0,1
13,Masters,80,65,30,Male,1,2,1
6,Bachelors,79,64,22,Male,1,0,1
2,Masters,97,95,50,Female,0,2,0
10,Bachelors,67,92,43,Male,1,0,1
7,Bachelors,65,52,37,Male,1,0,1
2,Masters,88,38,28,Female,0,2,0
13,Masters,41,63,35,Male,1,2,1
13,Bachelors,64,75,50,Male,1,0,1
12,High School,95,33,40,Female,0,1,0
0,High School,42,59,40,Male,0,1,1
12,High School,47,32,23,Male,1,1,1
12,Masters,83,43,36,Male,1,2,1
13,Bachelors,72,89,24,Male,1,0,1
7,Bachelors,81,74,32,Female,0,0,0
2,Bachelors,91,63,51,Female,0,0,0
1,High School,74,74,39,Female,0,1,0
0,Bachelors,45,90,23,Female,0,0,0
13,Bachelors,78,45,53,Female,1,0,0
2,Bachelors,91,95,29,Male,1,0,1
14,Bachelors,62,69,43,Female,0,0,0
1,Masters,64,46,27,Male,1,2,1
1,High School,98,63,33,Female,0,1,0
5,PhD,89,45,57,Female,0,3,0
11,Bachelors,82,89,36,Male,1,0,1
0,Masters,58,95,49,Male,0,2,1
1,Masters,44,95,39,Male,1,2,1
13,Masters,90,42,23,Male,1,2,1
5,Masters,50,85,34,Female,0,2,0
2,Bachelors,95,60,36,Female,0,0,0
14,Bachelors,51,63,41,Male,1,0,1
3,Bachelors,49,68,50,Male,1,0,1
0,Bachelors,47,96,50,Male,0,0,1
7,High School,63,37,24,Male,0,1,1
12,Bachelors,99,84,40,Male,1,0,1
6,Masters,67,56,24,Male,1,2,1
6,Bachelors,80,82,35,Female,0,0,0
2,Masters,75,68,25,Male,1,2,1
9,Masters,76,94,32,Male,1,2,1
9,PhD,60,46,52,Female,0,3,0
2,Bachelors,47,59,53,Male,0,0,1
13,Bachelors,94,82,48,Female,1,0,0
1,Bachelors,48,42,51,Female,0,0,0
11,Bachelors,86,50,23,Male,1,0,1
0,Masters,54,48,30,Male,0,2,1
6,Bachelors,87,82,49,Male,1,0,1
